"se vuo' campar d'esto loco selvaggio;	  4 5 7 10
ché questa bestia, per la qual tu gride,	  2 4 8 10
non lascia altrui passar per la sua via,	  2 4 6 10
ma tanto lo 'mpedisce che l'uccide;	  2 6 10
e ha natura sì malvagia e ria,	  4 8 10
che mai non empie la bramosa voglia,	  2 4 8 10
e dopo 'l pasto ha più fame che pria.	  2 4 7 10
Molti son li animali a cui s'ammoglia,	  1 3 6 8 10
e più saranno ancora, infin che 'l veltro	  2 4 6 8 10
verrà, che la farà morir con doglia.	  2 6 8 10
Questi non ciberà terra né peltro,	  1 6 7 10
ma sapïenza, amore e virtute,	  4 6 10
e sua nazion sarà tra feltro e feltro.	  4 6 8 10
Di quella umile Italia fia salute	  2 4 6 10
per cui morì la vergine Cammilla,	  2 4 6 10
Eurialo e Turno e Niso di ferute.	  2 4 6 10
Questi la caccerà per ogne villa,	  1 6 8 10
fin che l'avrà rimessa ne lo 'nferno,	  1 4 6 10
là onde 'nvidia prima dipartilla.	  2 4 6 10
Ond'io per lo tuo me' penso e discerno	  2 6 7 10
che tu mi segui, e io sarò tua guida,	  4 8 10
e trarrotti di qui per loco etterno;	  3 6 8 10
ove udirai le disperate strida,	  1 4 8 10
vedrai li antichi spiriti dolenti,	  2 4 6 10
ch'a la seconda morte ciascun grida;	  4 6 9 10
e vederai color che son contenti	  4 6 10
nel foco, perché speran di venire	  2 5 6 10
quando che sia a le beate genti.	  1 4 8 10
A le quai poi se tu vorrai salire,	  3 4 8 10
anima fia a ciò più di me degna:	  1 4 6 9 10
con lei ti lascerò nel mio partire;	  2 6 10
ché quello imperador che là sù regna,	  2 6 9 10
perch'i' fu' ribellante a la sua legge,	  2 6 10
non vuol che 'n sua città per me si vegna.	  2 6 8 10
In tutte parti impera e quivi regge;	  2 4 6 8 10
quivi è la sua città e l'alto seggio:	  1 6 8 10
oh felice colui cu' ivi elegge!".	  3 6 8 10
E io a lui: "Poeta, io ti richeggio	  2 4 6 10
per quello Dio che tu non conoscesti,	  2 4 6 10
acciò ch'io fugga questo male e peggio,	  2 4 6 8 10
che tu mi meni là dov'or dicesti,	  4 6 8 10
sì ch'io veggia la porta di san Pietro	  1 3 6 10
e color cui tu fai cotanto mesti".	  3 6 8 10
Allor si mosse, e io li tenni dietro.	  2 4 6 8 10
Lo giorno se n'andava, e l'aere bruno	  2 6 8 10
toglieva li animai che sono in terra	  2 6 8 10
da le fatiche loro; e io sol uno	  4 6 8 10
m'apparecchiava a sostener la guerra	  4 8 10
sì del cammino e sì de la pietate,	  1 4 6 10
che ritrarrà la mente che non erra.	  4 6 10
O muse, o alto ingegno, or m'aiutate;	  2 4 6 7 10
o mente che scrivesti ciò ch'io vidi,	  2 6 8 10
qui si parrà la tua nobilitate.	  1 4 6 10
Io cominciai: "Poeta che mi guidi,	  4 6 10
guarda la mia virtù s'ell'è possente,	  1 6 8 10
prima ch'a l'alto passo tu mi fidi.	  1 4 6 10
Tu dici che di Silvïo il parente,	  2 6 10
corruttibile ancora, ad immortale	  3 6 10
secolo andò, e fu sensibilmente.	  1 4 6 10
Però, se l'avversario d'ogne male	  2 6 8 10
cortese i fu, pensando l'alto effetto	  2 4 6 8 10
ch'uscir dovea di lui, e 'l chi e 'l quale	  2 4 6 8 10
non pare indegno ad omo d'intelletto;	  2 4 6 10
ch'e' fu de l'alma Roma e di suo impero	  2 4 6 10
ne l'empireo ciel per padre eletto:	  3 6 8 10
la quale e 'l quale, a voler dir lo vero,	  2 4 8 10
fu stabilita per lo loco santo	  4 8 10
u' siede il successor del maggior Piero.	  2 6 9 10
Per quest'andata onde li dai tu vanto,	  4 5 8 10
intese cose che furon cagione	  2 4 7 10
di sua vittoria e del papale ammanto.	  4 8 10
Andovvi poi lo Vas d'elezïone,	  2 4 6 10
per recarne conforto a quella fede	  3 6 8 10
ch'è principio a la via di salvazione.	  3 6 10
Ma io, perché venirvi? o chi 'l concede?	  2 4 6 8 10
Io non Enëa, io non Paulo sono;	  1 4 6 8 10
me degno a ciò né io né altri 'l crede.	  2 4 6 8 10
Per che, se del venire io m'abbandono,	  2 6 10
temo che la venuta non sia folle.	  1 6 10
Se' savio; intendi me' ch'i' non ragiono".	  2 4 6 10
E qual è quei che disvuol ciò che volle	  3 4 7 8 10
e per novi pensier cangia proposta,	  3 6 7 10
sì che dal cominciar tutto si tolle,	  1 6 7 10
tal mi fec'ïo 'n quella oscura costa,	  1 4 6 8 10
perché, pensando, consumai la 'mpresa	  2 4 8 10
che fu nel cominciar cotanto tosta.	  2 6 8 10
"S'i' ho ben la parola tua intesa",	  3 6 8 10
rispuose del magnanimo quell'ombra,	  2 6 10
"l'anima tua è da viltade offesa;	  1 4 5 8 10
la qual molte fïate l'omo ingombra	  2 3 6 8 10
sì che d'onrata impresa lo rivolve,	  1 4 6 10
come falso veder bestia quand'ombra.	  1 3 6 7 10
Da questa tema acciò che tu ti solve,	  2 4 6 10
dirotti perch'io venni e quel ch'io 'ntesi	  2 6 8 10
nel primo punto che di te mi dolve.	  2 4 8 10
Io era tra color che son sospesi,	  2 6 10
e donna mi chiamò beata e bella,	  2 6 8 10
tal che di comandare io la richiesi.	  1 6 10
Lucevan li occhi suoi più che la stella;	  2 4 6 7 10
e cominciommi a dir soave e piana,	  4 6 8 10
con angelica voce, in sua favella:	  3 6 10
"O anima cortese mantoana,	  2 6 10
di cui la fama ancor nel mondo dura,	  2 4 6 8 10
e durerà quanto 'l mondo lontana,	  4 5 7 10
l'amico mio, e non de la ventura,	  2 4 6 10
ne la diserta piaggia è impedito	  4 6 10
sì nel cammin, che vòlt'è per paura;	  1 4 7 10
e temo che non sia già sì smarrito,	  2 6 10
ch'io mi sia tardi al soccorso levata,	  1 4 7 10
per quel ch'i' ho di lui nel cielo udito.	  2 4 6 8 10
Or movi, e con la tua parola ornata	  2 6 8 10
e con ciò c'ha mestieri al suo campare,	  3 6 10
l'aiuta sì ch'i' ne sia consolata.	  2 4 7 10
I' son Beatrice che ti faccio andare;	  2 4 8 10
vegno del loco ove tornar disio;	  1 4 5 8 10
amor mi mosse, che mi fa parlare.	  2 4 8 10
Quando sarò dinanzi al segnor mio,	  1 4 6 9 10
di te mi loderò sovente a lui".	  2 6 8 10
Tacette allora, e poi comincia' io:	  2 4 6 10
"O donna di virtù, sola per cui	  2 6 7 10
l'umana spezie eccede ogne contento	  2 4 6 7 10
di quel ciel c'ha minor li cerchi sui,	  3 6 8 10
tanto m'aggrada il tuo comandamento,	  1 4 6 10
che l'ubidir, se già fosse, m'è tardi;	  4 7 10
più non t'è uo' ch'aprirmi il tuo talento.	  1 4 6 10
Ma dimmi la cagion che non ti guardi	  2 6 10
de lo scender qua giuso in questo centro	  3 6 8 10
de l'ampio loco ove tornar tu ardi".	  2 4 5 8 10
"Da che tu vuo' saver cotanto a dentro,	  2 6 8 10
dirotti brievemente", mi rispuose,	  2 6 10
"perch'i' non temo di venir qua entro.	  2 4 8 10
Temer si dee di sole quelle cose	  2 4 6 8 10
c'hanno potenza di fare altrui male;	  1 4 6 9 10
de l'altre no, ché non son paurose.	  2 4 7 10
I' son fatta da Dio, sua mercé, tale,	  3 6 9 10
che la vostra miseria non mi tange,	  3 6 10
né fiamma d'esto 'ncendio non m'assale.	  2 4 6 10
Donna è gentil nel ciel che si compiange	  1 4 6 10
di questo 'mpedimento ov'io ti mando,	  2 6 8 10
sì che duro giudicio là sù frange.	  1 3 6 9 10
Questa chiese Lucia in suo dimando	  1 3 6 10
e disse: - Or ha bisogno il tuo fedele	  2 3 6 10
di te, e io a te lo raccomando -.	  2 4 6 10
Lucia, nimica di ciascun crudele,	  2 4 8 10
si mosse, e venne al loco dov'i' era,	  2 4 6 10
che mi sedea con l'antica Rachele.	  4 7 10
Disse: - Beatrice, loda di Dio vera,	  1 4 6 9 10
ché non soccorri quei che t'amò tanto,	  4 6 9 10
ch'uscì per te de la volgare schiera?	  2 4 8 10
Non odi tu la pieta del suo pianto,	  2 4 6 10
non vedi tu la morte che 'l combatte	  2 4 6 10
su la fiumana ove 'l mar non ha vanto? -	  4 5 7 10
Al mondo non fur mai persone ratte	  2 6 8 10
a far lor pro o a fuggir lor danno,	  2 4 8 10
com'io, dopo cotai parole fatte,	  2 3 6 8 10
venni qua giù del mio beato scanno,	  1 4 8 10
fidandomi del tuo parlare onesto,	  2 6 8 10
ch'onora te e quei ch'udito l'hanno".	  2 4 6 8 10
Poscia che m'ebbe ragionato questo,	  1 4 8 10
li occhi lucenti lagrimando volse,	  1 4 8 10
per che mi fece del venir più presto.	  2 4 8 10
E venni a te così com'ella volse:	  2 4 6 8 10
d'inanzi a quella fiera ti levai	  2 4 6 10
che del bel monte il corto andar ti tolse.	  4 6 8 10
Dunque: che è? perché, perché restai,	  1 4 6 8 10
perché tanta viltà nel core allette,	  2 3 6 8 10
perché ardire e franchezza non hai,	  2 4 7 10
poscia che tai tre donne benedette	  1 4 6 10
curan di te ne la corte del cielo,	  1 4 7 10
e 'l mio parlar tanto ben ti promette?".	  4 5 7 10
Quali fioretti dal notturno gelo	  1 4 8 10
chinati e chiusi, poi che 'l sol li 'mbianca,	  2 4 6 8 10
si drizzan tutti aperti in loro stelo,	  2 4 6 10
tal mi fec'io di mia virtude stanca,	  1 4 8 10
e tanto buono ardire al cor mi corse,	  2 4 6 8 10
ch'i' cominciai come persona franca:	  4 5 8 10
"Oh pietosa colei che mi soccorse!	  3 6 10
e te cortese ch'ubidisti tosto	  2 4 8 10
a le vere parole che ti porse!	  3 6 10
Tu m'hai con disiderio il cor disposto	  2 6 8 10
sì al venir con le parole tue,	  1 4 8 10
ch'i' son tornato nel primo proposto.	  4 7 10
Or va, ch'un sol volere è d'ambedue:	  2 6 10
tu duca, tu segnore e tu maestro".	  2 6 10
Così li dissi; e poi che mosso fue,	  2 4 6 8 10
intrai per lo cammino alto e silvestro.	  2 6 7 10
"Per per si va ne la città dolente,	  2 4 8 10
per me si va ne l'etterno dolore,	  2 4 7 10
per me si va tra la perduta gente.	  2 4 8 10
Giustizia mosse il mio alto fattore;	  2 4 7 10
fecemi la divina podestate,	  1 6 10
la somma sapïenza e 'l primo amore.	  2 6 8 10
Dinanzi a me non fuor cose create	  2 4 6 7 10
se non etterne, e io etterno duro.	  4 6 8 10
Lasciate ogne speranza, voi ch'intrate".	  2 3 6 8 10
Queste parole di colore oscuro	  1 4 8 10
vid'ïo scritte al sommo di una porta;	  2 4 6 10
per ch'io: "Maestro, il senso lor m'è duro".	  2 4 6 8 10
Ed elli a me, come persona accorta:	  2 4 5 8 10
"Qui si convien lasciare ogne sospetto;	  1 4 6 7 10
ogne viltà convien che qui sia morta.	  1 4 6 8 10
Noi siam venuti al loco ov'i' t'ho detto	  1 4 6 8 10
che tu vedrai le genti dolorose	  4 6 10
c'hanno perduto il ben de l'intelletto".	  1 4 6 10
E poi che la sua mano a la mia puose	  2 6 9 10
con lieto volto, ond'io mi confortai,	  2 4 6 10
mi mise dentro a le segrete cose.	  2 4 8 10
Quivi sospiri, pianti e alti guai	  1 4 6 8 10
risonavan per l'aere sanza stelle,	  3 6 10
per ch'io al cominciar ne lagrimai.	  2 6 10
Diverse lingue, orribili favelle,	  2 4 6 10
parole di dolore, accenti d'ira,	  2 6 8 10
voci alte e fioche, e suon di man con elle	  1 2 4 6 8 10
facevano un tumulto, il qual s'aggira	  2 6 8 10
sempre in quell'aura sanza tempo tinta,	  1 4 8 10
come la rena quando turbo spira.	  1 4 6 8 10
E io ch'avea d'error la testa cinta,	  2 4 6 8 10
dissi: "Maestro, che è quel ch'i' odo?	  1 4 7 10
e che gent'è che par nel duol sì vinta?".	  4 6 8 10
Ed elli a me: "Questo misero modo	  2 4 5 7 10
tegnon l'anime triste di coloro	  1 3 6 10
che visser sanza 'nfamia e sanza lodo.	  2 6 10
Mischiate sono a quel cattivo coro	  2 4 8 10
de li angeli che non furon ribelli	  2 7 10
né fur fedeli a Dio, ma per sé fuoro.	  4 6 9 10
Caccianli i ciel per non esser men belli,	  1 4 7 10
né lo profondo inferno li riceve,	  4 6 10
ch'alcuna gloria i rei avrebber d'elli".	  2 4 6 8 10
E io: "Maestro, che è tanto greve	  2 4 7 8 10
a lor che lamentar li fa sì forte?".	  2 6 8 10
Rispuose: "Dicerolti molto breve.	  2 6 8 10
Questi non hanno speranza di morte,	  1 4 7 10
e la lor cieca vita è tanto bassa,	  4 6 8 10
che 'nvidïosi son d'ogne altra sorte.	  4 6 8 10
Fama di loro il mondo esser non lassa;	  1 4 6 7 10
misericordia e giustizia li sdegna:	  4 7 10
non ragioniam di lor, ma guarda e passa".	  4 6 8 10
E io, che riguardai, vidi una 'nsegna	  2 6 7 10
che girando correva tanto ratta,	  3 6 8 10
che d'ogne posa mi parea indegna;	  2 4 8 10
e dietro le venìa sì lunga tratta	  2 6 8 10
di gente, ch'i' non averei creduto	  2 4 8 10
che morte tanta n'avesse disfatta.	  2 4 7 10
Poscia ch'io v'ebbi alcun riconosciuto,	  1 4 6 10
vidi e conobbi l'ombra di colui	  1 4 6 10
che fece per viltade il gran rifiuto.	  2 6 10
Incontanente intesi e certo fui	  4 6 8 10
che questa era la setta d'i cattivi,	  2 3 6 10
a Dio spiacenti e a' nemici sui.	  2 4 8 10
Questi sciaurati, che mai non fur vivi,	  1 4 7 10
erano ignudi e stimolati molto	  1 4 8 10
da mosconi e da vespe ch'eran ivi.	  3 6 8 10
Elle rigavan lor di sangue il volto,	  1 4 6 8 10
che, mischiato di lagrime, a' lor piedi	  3 6 10
da fastidiosi vermi era ricolto.	  4 6 7 10
E poi ch'a riguardar oltre mi diedi,	  2 6 7 10
vidi genti a la riva d'un gran fiume;	  1 3 6 10
per ch'io dissi: "Maestro, or mi concedi	  3 6 7 10
ch'i' sappia quali sono, e qual costume	  2 4 6 10
le fa di trapassar parer sì pronte,	  2 6 8 10
com'i' discerno per lo fioco lume".	  2 4 8 10
Ed elli a me: "Le cose ti fier conte	  2 4 6 10
quando noi fermerem li nostri passi	  1 6 8 10
su la trista riviera d'Acheronte".	  3 6 10
Allor con li occhi vergognosi e bassi,	  2 4 8 10
temendo no 'l mio dir li fosse grave,	  2 6 8 10
infino al fiume del parlar mi trassi.	  2 4 8 10
Ed ecco verso noi venir per nave	  2 4 6 8 10
un vecchio, bianco per antico pelo,	  2 4 8 10
gridando: "Guai a voi, anime prave!	  2 4 6 7 10
Non isperate mai veder lo cielo:	  4 6 8 10
i' vegno per menarvi a l'altra riva	  2 6 8 10
ne le tenebre etterne, in caldo e 'n gelo.	  3 6 8 10
E tu che se' costì, anima viva,	  2 6 7 10
pàrtiti da cotesti che son morti".	  1 6 10
Ma poi che vide ch'io non mi partiva,	  2 4 6 10
disse: "Per altra via, per altri porti	  1 4 6 8 10
verrai a piaggia, non qui, per passare:	  2 4 7 10
più lieve legno convien che ti porti".	  2 4 7 10
E 'l duca lui: "Caron, non ti crucciare:	  2 4 6 10
vuolsi così colà dove si puote	  1 4 6 7 10
ciò che si vuole, e più non dimandare".	  1 4 6 10
Quinci fuor quete le lanose gote	  1 4 8 10
al nocchier de la livida palude,	  3 6 10
che 'ntorno a li occhi avea di fiamme rote.	  2 4 6 8 10
Ma quell'anime, ch'eran lasse e nude,	  3 6 8 10
cangiar colore e dibattero i denti,	  2 4 8 10
ratto che 'nteser le parole crude.	  1 4 8 10
Bestemmiavano Dio e lor parenti,	  3 6 10
l'umana spezie e 'l loco e 'l tempo e 'l seme	  2 4 6 8 10
di lor semenza e di lor nascimenti.	  4 7 10
Poi si ritrasser tutte quante insieme,	  1 4 8 10
forte piangendo, a la riva malvagia	  1 4 7 10
ch'attende ciascun uom che Dio non teme.	  2 6 8 10
Caron dimonio, con occhi di bragia	  2 4 7 10
loro accennando, tutte le raccoglie;	  1 4 6 10
batte col remo qualunque s'adagia.	  1 4 7 10
Come d'autunno si levan le foglie	  1 4 7 10
l'una appresso de l'altra, fin che 'l ramo	  1 3 6 8 10
vede a la terra tutte le sue spoglie,	  1 4 6 10
similemente il mal seme d'Adamo	  4 7 10
gittansi di quel lito ad una ad una,	  1 6 8 10
per cenni come augel per suo richiamo.	  2 6 10
Così sen vanno su per l'onda bruna,	  2 4 8 10
e avanti che sien di là discese,	  3 6 8 10
anche di qua nuova schiera s'auna.	  1 4 5 7 10
"Figliuol mio", disse 'l maestro cortese,	  3 4 7 10
"quelli che muoion ne l'ira di Dio	  1 4 7 10
tutti convegnon qui d'ogne paese;	  1 4 6 7 10
e pronti sono a trapassar lo rio,	  2 4 8 10
ché la divina giustizia li sprona,	  4 7 10
sì che la tema si volve in disio.	  1 4 7 10
Quinci non passa mai anima buona;	  1 4 6 7 10
e però, se Caron di te si lagna,	  3 6 8 10
ben puoi sapere omai che 'l suo dir suona".	  1 4 6 9 10
Finito questo, la buia campagna	  2 4 7 10
tremò si forte, che de lo spavento	  2 4 6 10
la mente di sudore ancor mi bagna.	  2 6 8 10
La terra lagrimosa diede vento,	  2 6 8 10
che balenò una luce vermiglia	  4 7 10
la qual mi vinse ciascun sentimento;	  2 4 7 10
e caddi come l'uom cui sonno piglia.	  2 6 8 10
Ruppemi l'alto sonno ne la testa	  1 4 6 10
un greve truono, sì ch'io mi riscossi	  2 4 7 10
come persona ch'è per forza desta;	  1 4 6 8 10
e l'occhio riposato intorno mossi,	  2 6 8 10
dritto levato, e fiso riguardai	  1 4 6 10
per conoscer lo loco dov'io fossi.	  3 6 9 10
Vero è che 'n su la proda mi trovai	  2 6 10
de la valle d'abisso dolorosa	  3 6 10
che 'ntrono accoglie d'infiniti guai.	  2 4 8 10
Oscura e profonda era e nebulosa	  2 5 6 10
tanto che, per ficcar lo viso a fondo,	  1 3 6 8 10
io non vi discernea alcuna cosa.	  1 6 8 10
"Or discendiam qua giù nel cieco mondo",	  1 4 6 8 10
cominciò il poeta tutto smorto.	  3 6 8 10
"Io sarò primo, e tu sarai secondo".	  3 4 6 8 10
E io, che del color mi fui accorto,	  2 6 10
dissi: "Come verrò, se tu paventi	  1 6 10
che suoli al mio dubbiare esser conforto?".	  2 3 6 7 10
Ed elli a me: "L'angoscia de le genti	  2 4 6 10
che son qua giù, nel viso mi dipigne	  2 4 6 10
quella pietà che tu per tema senti.	  1 4 6 8 10
Andiam, ché la via lunga ne sospigne".	  2 5 6 10
Così si mise e così mi fé intrare	  2 4 6 10
nel primo cerchio che l'abisso cigne.	  2 4 8 10
Quivi, secondo che per ascoltare,	  1 4 6 10
non avea pianto mai che di sospiri	  4 6 10
che l'aura etterna facevan tremare;	  2 4 7 10
ciò avvenia di duol sanza martìri,	  1 4 6 7 10
ch'avean le turbe, ch'eran molte e grandi,	  2 4 6 8 10
d'infanti e di femmine e di viri.	  2 6 10
Lo buon maestro a me: "Tu non dimandi	  4 6 10
che spiriti son questi che tu vedi?	  2 6 10
Or vo' che sappi, innanzi che più andi,	  2 4 6 10
ch'ei non peccaro; e s'elli hanno mercedi,	  1 4 6 7 10
non basta, perché non ebber battesmo,	  2 5 7 10
ch'è porta de la fede che tu credi;	  2 6 10
e s'e' furon dinanzi al cristianesmo,	  3 6 10
non adorar debitamente a Dio:	  4 8 10
e di questi cotai son io medesmo.	  3 6 8 10
Per tai difetti, non per altro rio,	  4 6 8 10
semo perduti, e sol di tanto offesi	  1 4 6 8 10
che sanza speme vivemo in disio".	  2 4 7 10
Gran duol mi prese al cor quando lo 'ntesi,	  2 4 6 7 10
però che gente di molto valore	  2 4 7 10
conobbi che 'n quel limbo eran sospesi.	  2 6 7 10
"Dimmi, maestro mio, dimmi, segnore",	  1 4 6 7 10
comincia' io per voler esser certo	  4 8 10
di quella fede che vince ogne errore:	  2 4 7 8 10
"uscicci mai alcuno, o per suo merto	  2 4 6 10
o per altrui, che poi fosse beato?".	  4 6 7 10
E quei che 'ntese il mio parlar coverto,	  2 4 8 10
rispuose: "Io era nuovo in questo stato,	  2 4 6 8 10
quando ci vidi venire un possente,	  1 4 7 10
con segno di vittoria coronato.	  2 6 10
Trasseci l'ombra del primo parente,	  1 4 7 10
d'Abèl suo figlio e quella di Noè,	  2 4 6 10
di Moïsè legista e ubidente;	  4 6 10
Abraàm patrïarca e Davìd re,	  3 6 9 10
Israèl con lo padre e co' suoi nati	  3 6 10
e con Rachele, per cui tanto fé,	  4 8 10
e altri molti, e feceli beati.	  2 4 6 10
E vo' che sappi che, dinanzi ad essi,	  2 4 8 10
spiriti umani non eran salvati".	  1 4 7 10
Non lasciavam l'andar perch'ei dicessi,	  4 6 8 10
ma passavam la selva tuttavia,	  4 6 10
la selva, dico, di spiriti spessi.	  2 4 7 10
Non era lunga ancor la nostra via	  2 4 6 8 10
di qua dal sonno, quand'io vidi un foco	  2 4 8 10
ch'emisperio di tenebre vincia.	  3 6 10
Di lungi n'eravamo ancora un poco,	  2 6 7 10
ma non sì ch'io non discernessi in parte	  2 4 8 10
ch'orrevol gente possedea quel loco.	  2 4 8 10
"O tu ch'onori scïenzïa e arte,	  2 4 6 10
questi chi son c'hanno cotanta onranza,	  1 4 5 8 10
che dal modo de li altri li diparte?".	  3 6 10
E quelli a me: "L'onrata nominanza	  2 4 6 10
che di lor suona sù ne la tua vita,	  3 4 6 10
grazïa acquista in ciel che sì li avanza".	  1 4 6 8 10
Intanto voce fu per me udita:	  2 4 6 8 10
"Onorate l'altissimo poeta;	  3 6 10
l'ombra sua torna, ch'era dipartita".	  1 3 4 6 10
Poi che la voce fu restata e queta,	  1 4 8 10
vidi quattro grand'ombre a noi venire:	  1 3 6 8 10
sembianz'avevan né trista né lieta.	  2 4 7 10
Lo buon maestro cominciò a dire:	  2 4 8 10
"Mira colui con quella spada in mano,	  1 4 6 8 10
che vien dinanzi ai tre sì come sire:	  2 4 6 8 10
quelli è Omero poeta sovrano;	  1 4 7 10
l'altro è Orazio satiro che vene;	  1 4 6 10
Ovidio è 'l terzo, e l'ultimo Lucano.	  2 4 6 10
Però che ciascun meco si convene	  2 5 6 10
nel nome che sonò la voce sola,	  2 6 8 10
fannomi onore, e di ciò fanno bene".	  1 4 7 8 10
Così vid'i' adunar la bella scola	  2 6 8 10
di quel segnor de l'altissimo canto	  4 7 10
che sovra li altri com'aquila vola.	  2 4 7 10
Da ch'ebber ragionato insieme alquanto,	  2 8 10
volsersi a me con salutevol cenno,	  1 4 8 10
e 'l mio maestro sorrise di tanto;	  4 7 10
e più d'onore ancora assai mi fenno,	  2 4 6 8 10
ch'e' sì mi fecer de la loro schiera,	  2 4 8 10
sì ch'io fui sesto tra cotanto senno.	  1 4 8 10
Così andammo infino a la lumera,	  2 4 6 10
parlando cose che 'l tacere è bello,	  2 4 8 10
sì com'era 'l parlar colà dov'era.	  1 3 6 8 10
Venimmo al piè d'un nobile castello,	  2 4 6 10
sette volte cerchiato d'alte mura,	  1 3 6 8 10
difeso intorno d'un bel fiumicello.	  2 4 7 10
